route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
145-203,Weekday-1,1002-14501-37800-2-087718c8,Lincoln Rd To Henderson Via Western H,,0,,1002-14501-cd43bda4,0,0
145-203,Weekend-1,1002-14501-37800-2-17ec6b90,Lincoln Rd To Henderson Via Western H,,0,,1002-14501-cd43bda4,0,0
145-203,Daily-1,1002-14501-39600-2-087718c8,Lincoln Rd To Henderson Via Western H,,0,,1002-14501-cd43bda4,0,0
145-203,Daily-1,1002-14501-41400-2-087718c8,Lincoln Rd To Henderson Via Western H,,0,,1002-14501-cd43bda4,0,0
145-203,Daily-1,1002-14501-43200-2-087718c8,Lincoln Rd To Henderson Via Western H,,0,,1002-14501-cd43bda4,0,0
145-203,Daily-1,1002-14501-45000-2-087718c8,Lincoln Rd To Henderson Via Western H,,0,,1002-14501-cd43bda4,0,0
145-203,Daily-1,1002-14501-46800-2-087718c8,Lincoln Rd To Henderson Via Western H,,0,,1002-14501-cd43bda4,0,0
145-203,Daily-1,1002-14501-48600-2-087718c8,Lincoln Rd To Henderson Via Western H,,0,,1002-14501-cd43bda4,0,0
145-203,Daily-1,1002-14501-50400-2-087718c8,Lincoln Rd To Henderson Via Western H,,0,,1002-14501-cd43bda4,0,0
145-203,Daily-1,1002-14501-52200-2-087718c8,Lincoln Rd To Henderson Via Western H,,0,,1002-14501-cd43bda4,0,0
145-203,Weekend-1,1002-14501-54000-2-087718c8,Lincoln Rd To Henderson Via Western H,,0,,1002-14501-cd43bda4,0,0
145-203,Weekday-1,1002-14501-54000-2-2d9eb09b,Lincoln Rd To Henderson Via Western H,,0,,1002-14501-cd43bda4,0,0
145-203,Weekend-1,1002-14501-55800-2-087718c8,Lincoln Rd To Henderson Via Western H,,0,,1002-14501-cd43bda4,0,0
145-203,Weekday-1,1002-14501-55800-2-2d9eb09b,Lincoln Rd To Henderson Via Western H,,0,,1002-14501-cd43bda4,0,0
145-203,Weekday-1,1002-14501-57600-2-2d9eb09b,Lincoln Rd To Henderson Via Western H,,0,,1002-14501-cd43bda4,0,0
145-203,Weekend-1,1002-14501-57600-2-378de675,Lincoln Rd To Henderson Via Western H,,0,,1002-14501-cd43bda4,0,0
145-203,Weekday-1,1002-14501-59400-2-2d9eb09b,Lincoln Rd To Henderson Via Western H,,0,,1002-14501-cd43bda4,0,0
145-203,Weekend-1,1002-14501-59400-2-378de675,Lincoln Rd To Henderson Via Western H,,0,,1002-14501-cd43bda4,0,0
145-203,Weekday-1,1002-14501-61200-2-2d9eb09b,Lincoln Rd To Henderson Via Western H,,0,,1002-14501-cd43bda4,0,0
145-203,Weekend-1,1002-14501-61200-2-378de675,Lincoln Rd To Henderson Via Western H,,0,,1002-14501-cd43bda4,0,0
145-203,Weekday-1,1002-14501-63000-2-2d9eb09b,Lincoln Rd To Henderson Via Western H,,0,,1002-14501-cd43bda4,0,0
145-203,Weekend-1,1002-14501-63000-2-378de675,Lincoln Rd To Henderson Via Western H,,0,,1002-14501-cd43bda4,0,0
145-203,Weekday-1,1002-14501-64800-2-2d9eb09b,Lincoln Rd To Henderson Via Western H,,0,,1002-14501-cd43bda4,0,0
145-203,Weekend-1,1002-14501-64800-2-378de675,Lincoln Rd To Henderson Via Western H,,0,,1002-14501-cd43bda4,0,0
145-203,Weekday-1,1002-14501-66600-2-016a6068,Lincoln Rd To Henderson Via Western H,,0,,1002-14501-cd43bda4,0,0
145-203,Weekend-1,1002-14501-66600-2-378de675,Lincoln Rd To Henderson Via Western H,,0,,1002-14501-cd43bda4,0,0
145-203,Weekend-1,1002-14501-68400-2-378de675,Lincoln Rd To Henderson Via Western H,,0,,1002-14501-cd43bda4,0,0
145-203,Weekday-1,1002-14501-68400-2-e2d22bd9,Lincoln Rd To Henderson Via Western H,,0,,1002-14501-cd43bda4,0,0
145-203,Weekend-1,1002-14501-70200-2-0c530451,Lincoln Rd To Henderson Via Western H,,0,,1002-14501-cd43bda4,0,0
145-203,Weekday-1,1002-14501-70200-2-e2d22bd9,Lincoln Rd To Henderson Via Western H,,0,,1002-14501-cd43bda4,0,0
145-203,Weekend-1,1002-14501-71400-2-0c530451,Lincoln Rd To Henderson Via Western H,,0,,1002-14501-cd43bda4,0,0
145-203,Weekday-1,1002-14501-71400-2-e2d22bd9,Lincoln Rd To Henderson Via Western H,,0,,1002-14501-cd43bda4,0,0
145-203,Daily-1,1002-14501-73200-2-0c530451,Lincoln Rd To Henderson Via Western H,,0,,1002-14501-cd43bda4,0,0
145-203,Daily-1,1002-14501-75000-2-0c530451,Lincoln Rd To Henderson Via Western H,,0,,1002-14501-cd43bda4,0,0
145-203,Weekday-1,1002-14501-76800-2-0c530451,Lincoln Rd To Henderson Via Western H,,0,,1002-14501-cd43bda4,0,0
145-203,Weekend-1,1002-14501-76800-2-9dd51eb9,Lincoln Rd To Henderson Via Western H,,0,,1002-14501-cd43bda4,0,0
145-203,Weekday-1,1002-14501-78600-2-0c530451,Lincoln Rd To Henderson Via Western H,,0,,1002-14501-cd43bda4,0,0
145-203,Weekend-1,1002-14501-78600-2-9dd51eb9,Lincoln Rd To Henderson Via Western H,,0,,1002-14501-cd43bda4,0,0
145-203,Daily-1,1002-14501-80400-2-4e18fad9,Lincoln Rd To Henderson Via Western H,,0,,1002-14501-cd43bda4,0,0
145-203,Daily-1,1002-14501-82200-2-4e18fad9,Lincoln Rd To Henderson Via Western H,,0,,1002-14501-cd43bda4,0,0
145-203,Weekday-1,1002-14502-20700-2-d25694e2,Henderson To Lincoln Rd Via Western H,,1,,1002-14502-fcb248eb,0,0
145-203,Weekday-1,1002-14502-22500-2-265a84da,Henderson To Lincoln Rd Via Western H,,1,,1002-14502-fcb248eb,0,0
145-203,Weekend-1,1002-14502-22500-2-7d20b4dd,Henderson To Lincoln Rd Via Western H,,1,,1002-14502-fcb248eb,0,0
145-203,Weekday-1,1002-14502-24300-2-265a84da,Henderson To Lincoln Rd Via Western H,,1,,1002-14502-fcb248eb,0,0
145-203,Weekend-1,1002-14502-24300-2-7d20b4dd,Henderson To Lincoln Rd Via Western H,,1,,1002-14502-fcb248eb,0,0
145-203,Weekend-1,1002-14502-26100-2-7d20b4dd,Henderson To Lincoln Rd Via Western H,,1,,1002-14502-fcb248eb,0,0
145-203,Weekday-1,1002-14502-26100-2-7d4192ce,Henderson To Lincoln Rd Via Western H,,1,,1002-14502-fcb248eb,0,0
145-203,Weekend-1,1002-14502-27900-2-7d20b4dd,Henderson To Lincoln Rd Via Western H,,1,,1002-14502-fcb248eb,0,0
145-203,Weekday-1,1002-14502-27900-2-7d4192ce,Henderson To Lincoln Rd Via Western H,,1,,1002-14502-fcb248eb,0,0
145-203,Weekend-1,1002-14502-29700-2-7d20b4dd,Henderson To Lincoln Rd Via Western H,,1,,1002-14502-fcb248eb,0,0
145-203,Weekday-1,1002-14502-29700-2-7d4192ce,Henderson To Lincoln Rd Via Western H,,1,,1002-14502-fcb248eb,0,0
145-203,Weekend-1,1002-14502-31500-2-06d7cd0a,Henderson To Lincoln Rd Via Western H,,1,,1002-14502-fcb248eb,0,0
145-203,Weekday-1,1002-14502-31500-2-7d4192ce,Henderson To Lincoln Rd Via Western H,,1,,1002-14502-fcb248eb,0,0
145-203,Weekend-1,1002-14502-33300-2-06d7cd0a,Henderson To Lincoln Rd Via Western H,,1,,1002-14502-fcb248eb,0,0
145-203,Weekday-1,1002-14502-33300-2-7d4192ce,Henderson To Lincoln Rd Via Western H,,1,,1002-14502-fcb248eb,0,0
